sentence_count,english_word,non_english_word,CC,DT-PDT,IN,JJ,JJR,JJS,MD,NN,NNS,NNP,NNPS,RB2,RBR,RBS,VB,VBD-VBN,VBG,VBP-VBZ,other_tags,word_count,td_idf,unique,score,essay_wo_stopwords
3,50,1,2,10,9,1,0,0,0,11,4,0,0,0,0,0,2,4,0,3,5,21,3.6035496989879743,15,1.0,feature setting affect cyclist many way feature setting affect cyclist lact information go lack water problem needed water trip direction go
12,163,16,6,28,26,12,0,0,2,29,5,20,0,6,0,0,5,16,6,3,20,95,7.538610216272512,70,2.0,feature setting affected cyclist negative way desert dry hot traveling high desert california june kurmaskie @ num1 also temperature hot made every thing around hot brackish water faling somewhere neighborhood two hundred degree kurmaskie @ num1 since desert escape sun text state sun beginning beat kurmaskie @ num3 cyclist alone road none around either passed one could help growing realization could drop heatstroke gorgous day june kurmaskie @ num1 forty mile pedal arrived first town morning fit traditional definition ghost town kurmaskie @ num3 thesettings cyclist riding good one negativly affected causing dehydrated tiredin end
8,97,0,2,10,7,7,1,0,1,11,10,2,0,9,0,0,4,8,1,7,18,49,5.537756262799221,40,1.0,everyone travel unfamiliar place sometimes get lost ask local direction @ month1 good idea setting affected cyclist perfectly good map asked older men look like age old men apparently gave cyclist wrong direction advice would listen anyone matter age perfectly good map also try know going time yes sir
3,77,10,3,10,10,10,0,1,1,14,5,0,0,3,0,0,2,6,1,4,17,41,5.62459686952776,40,1.0,believe feature cyclist affected impatient trustworthy tock old men advice take hr time bay taking short cat would stayed true mep almost ared heat impatientress got best took shortcut experence new haes stat mep trust people havent seen change last year
3,126,8,5,23,16,15,0,0,3,25,4,3,0,7,1,0,2,7,2,10,12,64,6.108648488980187,44,2.0,setting effect cyclist setting diffrent story would made sense setting story dry scaterd ghost town reach first town see one ramshackle shed several rusty pump coral couldnt hold lamesh mule setting problem water would conflict story story speeker say travling high desert california hot dry say cause problem hot dry seting forest @ date1 much problem needing water would made story much le exciting
3,69,2,2,14,6,6,0,1,0,11,5,0,0,4,0,0,1,10,0,2,9,36,5.170552470565684,31,1.0,many feature setting affected cyclist instance extremely hot dry also nearly deserted almost place crossed deserted lost feature setting ram shackle shed several rusty pump corral caldnt hald lamest move feature give idea haw cyclist feel
4,43,0,2,7,5,3,0,0,0,8,2,0,0,0,0,0,1,7,1,1,6,19,3.938147870744862,18,1.0,cyclist riding tower stopped direction old men told take short cut got lost ghost town desert conclusion desert hot
8,114,1,2,11,15,3,0,0,0,16,6,4,0,6,0,0,7,3,3,16,26,46,4.668890074004453,30,0.0,affect cyclist change cut hurt lot people feeling @ caps1 care cyclist one people care cause affect anyone know big deal write people @ caps1 blow stuff talking tiv radio making stuff say made believe see @ caps1 black people anything u really care affect cyclist
6,94,1,0,12,7,4,0,1,1,17,2,9,0,10,0,0,2,4,3,11,12,46,5.579763439270261,39,2.0,essay rough road ahead exceed posted speed limit describes man bicycle ride california california hot summer cyclist riding setting greatly affect man journey made difficult finish ride drank water beginning ride get dehydrated text state water bottle contained tantalizing sip see setting make man bikeride hard
8,150,2,1,18,9,11,0,0,3,29,3,24,0,12,0,0,7,13,3,6,14,89,7.098393631818769,62,2.5,story rough road ahead exceed posted speed limit written joe kurmaskie represents certain condition affect cyclist cyclist biking desert reach yosemite national park journey accoutered many tough condition make difficult get first desert hot make travel difficult example text state sun beginning beat @ caps1 make task difficult sun drain person energy secondly trip long cyclist hard time conserving water instance man drank much water almost ran water bottle contained dehydration cause death joe kurmaskie story rough road ahead exceed posted speed limit represents certain condition environment affect cyclist
