sentence_count,english_word,non_english_word,CC,DT-PDT,IN,JJ,JJR,JJS,MD,NN,NNS,NNP,NNPS,RB2,RBR,RBS,VB,VBD-VBN,VBG,VBP-VBZ,other_tags,word_count,td_idf,score,essay_wo_stopwords
19,476,10,25,38,51,29,1,4,13,57,46,30,0,35,0,0,38,16,9,33,79,257,9.576632725569091,4.0,certain material removed library book music magazine removed library give people chance understand real world @ caps2 certain material book music definitly removed book music show people bad statement book @ caps2 bad lyric song help person avoid type thing book song @ caps2 saying reader listener people give every type music least try always doubt hear people say type music always hear people saying bad band @ person1 @ caps2 lyric talk drug much cursing song really band @ caps2 talking one man life turn life drug addict best life someone could ever live people always doubted never gave music chance another example would @ person1 book @ caps1 @ caps2 @ caps3 @ caps4 talk drug addict homeless people people born disfigured arm even someone lost leg telling beautiful everyone really book taught thing made think different people matter look talk matter person @ caps2 beautiful far movie magazine gone within last year think also taken library think @ caps1 reason feel book music course see preview movie think @ month1 good library keep leave movie @ caps2 great way learn treat others act around people know act act differently around people never around could feel embarassed maybe even get @ caps4 movie help people learn real world seeing type thing get older go magazine also help people see help understand consequence something done knowing magazine could possible save life perhaps maybe even someone el life understand library would want banned certain material help people understand thing happen someone el life help make mistake person
3,161,9,2,15,18,16,0,1,2,27,7,4,0,7,0,0,16,1,1,28,28,78,5.442905069434723,1.5,write persuasive essay newspaper reflecting view censorship library believe certain removed think yes think person chager book music movie magazine ect agure think need please think thank please need know failure test need graduate please child allow home please yes need prafece person please need write assgiment mean best teach ever ever facebook password @ person1 @ num1 need myspace thingh different time please know need know really need e mail address @ email1 e mail please work
15,223,4,6,24,18,21,0,0,3,28,17,11,0,15,0,0,10,8,1,24,49,107,6.777554633322595,2.5,think library remove certain material shelf people different oppions whats good whats bad read seen lot book life time hear people telling oh dont read book bad book ask @ caps2 know bad book even given chance @ caps1 book music movie magazine @ caps1 offensive yet still want read listen watch look tried remove offensive book library anything left shelf katherine paterson said right remove book shelf work abhor also exactly right everyone else book left shelf u katherine paterson make great point quote remove book people think offensive ask question @ caps2 know bad book even given chance @ caps3 judge book hear find oppion
31,469,1,16,44,38,23,1,0,19,64,32,3,0,29,0,0,39,23,14,46,80,226,9.015918360157597,4.0,@ date1 world many thing found offensive everyone opinion offensive many parent becoming upset think child viewing thing people upset think library offending culture way life even taken extreme people want censhorship library avoid wrong people becoming concerned material library find thing offensive everyone entitled opinion really nothing anyone someone offended world public place everywhere go something might found offensive library place study never intended offend someone bring bad world simply place inform someone offended see stay away library library many time none ever seen anything offensive everything ever witnessed library learning research certain section library parent want child seeing something keep child child section assure nothing offensive child section else library would section owner library know going upset people truly offensive material library material would taken also person complains material removed could lessen someone else chance getting material need one person could think material offensive someone else might want learn one offended certain material simply must look library compared big computer one basically find anything asking library censor material like asking internet censor way learning researching would almost impossible censor everything everyone going offended point life library removed everything could offend someone would material left people need stop easily offended realize library trying harm anyone need censorship library simply trying teach people world let enjoy book music movie whatever else one might go library find
35,416,15,20,39,35,23,6,0,13,57,41,12,0,25,0,0,36,11,5,42,72,223,9.796479538960421,4.0,life offensive thing little stuff get skin eats away u easy get thing make stronger sometimes book magazine music movie offened u reason get offensive subject either reflects personality life author fault write feel truth okay libraris full book movie music etc take book shelf offened people @ month1 like book hate book library read another reason people remove offensive material library hurt whoevers company got book published also writters writters publisher would lose much money library sell book magazine movie make thousand copy thier product take money make thier money back sell thousand book store must offensive material open world eye everybody need see whats going world book newspaper tell truth subject writters intent nt hurt help cant world open know life read book first book offended would get mad would put book walk away eye would open finaly hit offensive part book helped relives new understanding view used would gone strange finnaly open life change people might even find paper offensive nobody stepping toe getting skin wont ever change offened word used lightly yes people use lot really mean people need use well book bug stop get life short worry feel offended every single book magazine movie music need left alone material @ month1 reflect people life help others thiers read another book watch different move please remove anything self damage
25,319,8,13,31,33,24,0,0,15,42,27,22,1,14,0,0,27,8,3,24,55,181,8.083445935029307,3.5,lot @ caps3 today censored content book music movie magazine think fixed certain section @ caps1 @ caps2 view censorship @ caps3 idea fix problem understand book material @ month1 offend certain people might offend others thats think @ caps3 room thing might offend certain people sign say content people stay away room could seperate room child nothing child book movie music magazine great idea child would nt open bad content brings next topic must certain @ caps1 enter bad content room dont think library staff parent want five year old boy checking book deal sex drug alcohol library could get lot trouble @ caps1 @ caps2 could @ num1 year @ caps1 enter room seems fair enough old enough able handle content dont get offended easily read anything like suggested previously article bad content moved room people dont mistakenly come across like reading anything everything would love read thing spark attention book like usually deal bad thing okay understand others seperate room @ caps1 limit view good idea maybe library come across article said think affective hope start seeing future
25,519,4,18,60,57,46,0,0,9,75,37,40,0,23,0,1,42,25,10,36,69,280,10.286744631063998,5.0,@ caps4 feel favorite book taken shelf school public library along many student @ caps4 find discouraging distastrous believe censorship affect book shelf otherwise demolished love reading crushed individuality separated population @ month1 born like beloved @ person2 @ person2 series @ person1 many book series taken library collection due people society finding offensive case world witchcraft story bloom religious belief therefore individual within religion campaign book banned fortunately none library visit eclectic collection banned series @ caps4 strong thirst literature book potential pull student wonderful world reading like @ person2 taking away book likely spark interest start firework creativity @ caps4 affect generation future censorhip allowed say could censored @ caps4 final judge book @ caps4 banned @ caps4 come power willing enough take struggle top possibility seperating people apart like political party disagreement could turn debate could turn fight concluded people stubborn belief someone choose everyone allowed believe @ caps4 wrong instance @ caps4 like @ caps1 forcing @ caps2 believe @ caps3 vegetarian commanding meat longer eaten woman taking away men voting right censorship @ caps4 lead disrespect opinion disrespect never beneficial thing every person different opinion offensive censor book @ caps4 censor individual mentality without person unique thought belief world @ caps4 become similiarly vapid dull difference belief add variety population make person special additionally free thought right people someone limit mental literary stimulant world amount creativity individuality @ caps4 decrease conclude censorship @ caps4 disrespect individuality personal belief overall joy reading good book one might believe story say mean piece literature forbidden one forced read book grace hundred shelf library someone offended simply read @ caps4 feel favorite book gone library disrespected @ caps4 feel
36,776,19,16,105,110,35,0,0,21,109,31,7,0,60,3,1,42,51,13,49,144,314,9.634329884493914,2.5,think able take certian material shelf library someone find offensive example think top head book movie music magazine even computer excess mind sit back get relacked good comfortable spot go desided think taking self local libary even school library came think way yes way example bet old book school library right know even picked long time old overly dated reason say pulled shelf library well becasue people seems offensive mean almost popular book hole library person like book might find poeple found book offensive book might offending person think always poeple like complain something go put example seen library one time way guy one complaining farm book never get messed guy walked two book farm section library librarian taking information two guy disabuting time five foot form counter guy guy talk farm book get pulled shelf ask librarian book spaceship guy getting farm book said really take shelf seen anyone way year tell take book music think find library likely stay library got book stuff reason reason ever know someone might come walking door looking lonely book magizne movie need get computer well know probably getting tired hearing reason think book thing get pulled shelf time tell get pulled shelf local library neiborhood main reason somethings get pulled shelf local library school library book really damaged example one library county book back cover book torn completly bad would shelf make library look like trashed place go another reason something get pulled shelf book supported drug like book drug got cought got slap wrist call slap wrist get trouble something even get trouble get handed parent think saying slap wrist mean likely book probably stay shelf like said earlier essay always people like complain every little pitty thing find complain mostly learned state tractor pulling club hope taken much time think next time library see book think man book needed taken shelf refer back essay
19,331,0,8,35,42,31,1,1,7,43,26,13,0,21,0,0,25,16,2,26,39,160,8.768316867479934,4.5,idea removal offensive material library understandable believe material appropriate anyone view however different opinion offensive believe book found offensive removed shelf library first believe policy effect library would many book left shelf offensive relative word @ month1 offensive one person @ month1 another every different opinion different matter based belief life experience many book thing people disagree expressing part freedom speech therefore everyone complained found certain book movie offensive would hardly anything left katherine paterson said purpose library provide people go library resource source censored way would hard get information sometimes beneficial even read opposing view side knowledge certain topic see thing different perspective however book @ month1 entirely appropriate certain people example material library @ month1 best small child read view case necessarily feel removed shelf rather placed area child access book music movie magazine removed shelf found offensive opinion ridiculous notion hinders expression people different opinion offensive would boring everyone thought someone find something particularly offensive believe view
24,380,5,13,51,49,15,0,0,13,55,12,6,1,30,0,0,31,9,4,36,62,165,8.19138083782644,4.0,author write purpose whether teach entertain persuade audience author writes something say hope one pick shelf every author want express something writing let heard freedom speech right freedom writing library remove book music movie magazine shelf found offensive everyone read book like natural mean one like author write audience maybe audience appeal might even seem offensive everyone belief idea could think issue one way neighbor think totally different way like instance reading book young girl going many problem life gotten really horrible situation situation read awful want anyone else read ever think maybe another girl gone situation maybe girl come library find book suddenly find guidence find something depend life never feel like friend book handle situation would really want take book shelf let girl ever find guidence situation happen like time people find something special read people might find librarian take book shelf opportunity forever gone one ever able learn become writing idea right learn explore new idea expand mind one right take away
