sentence_count,english_word,non_english_word,CC,DT-PDT,IN,JJ,JJR,JJS,MD,NN,NNS,NNP,NNPS,RB2,RBR,RBS,VB,VBD-VBN,VBG,VBP-VBZ,other_tags,word_count,td_idf,score,essay_wo_stopwords
16,339,11,14,20,55,17,1,0,5,54,20,15,0,19,0,0,23,7,16,27,62,171,9.059150295094184,4.0,dear local newspaper think effect computer people great learning skill affect give u time chat friend new people help u learn globe astronomy keep u troble thing dont think would feel teenager always phone friend ever time chat friend buisness partner thing well new way chat computer plenty site internet @ organization1 @ organization2 @ caps1 facebook myspace ect think setting meeting bos computer teenager fun phone rushing get cause want use learn country state outside well computer internet new way learn going time might think child spends lot time computer ask question economy sea floor spreading even @ date1 surprise much know believe computer much interesting class day reading book child home computer local library better friend fresh perpressured something know isnt right might know child @ caps2 forbidde hospital bed drive rather child computer learning chatting playing game safe sound home community place hope reached point understand agree computer great effect child give u time chat friend new people help u learn globe believe keep u troble thank listening
20,403,20,18,34,59,19,1,1,14,55,39,21,1,17,0,1,29,12,20,24,68,234,9.775415017661082,4.5,dear @ caps1 @ caps2 believe using computer benefit u many way like talking becoming friend others website like facebook mysace using computer help u find coordibates location able ourselfs million information also computer benefit u helping job planning house plan typing @ num1 page report one job le writing let go wonder world technology using computer help u life talking making friend line many people myspace facebooks aim benefit u conversation one another many people believe computer bad make friend never talk fortunate computer help school work social life make friend computer help u finding location coordibates million information online go internet lot know go onto website @ month1 help u location coordinate like @ location1 would rather use computer @ location3 supposed vacationing @ location2 million information found internet almost every question computer would rather easily draw house plan computer take @ num1 hour one hand ugly erazer mark garrenteed find job drawing like also appling job many worker must write long paper like @ num3 word essay job fit many people know like writing @ num3 word non stopp hour could take hav computer computer needed lot adays hope essay impacted descion computer great machine work day showed mom use computer said greatest invention sense sliced bread go buy computer help chat online friend find location million information one click button help self getting job neat prepared printed work bos love
14,281,2,16,28,32,15,3,1,4,38,32,14,1,11,1,2,13,1,9,32,37,143,8.283526918878021,3.5,dear @ caps1 @ caps2 @ caps3 people use computer everyone agrees benefit society support advance technology believe computer positive effect people others different idea great amount world today using computer work spme fun computer one man greatest accomplishment computer helpful many way @ caps4 news live stream get wrong way much people spend time computer interacting others tell grow want author journalist know fact job involve lot time time computer one @ month1 spend time know exactly @ caps5 getting expert think people spending much time computer exercising enjoying nature interacting family friend expert know must people make living know people choose use computer great amount time honest non concern called expert concern people interact thousand time day computer computer keep lot kid street instead causing trouble computer help @ organization1 locate wanted criminal see computer useful society think computer benefit society
27,503,27,17,43,64,41,4,6,14,77,52,76,0,26,1,1,31,26,5,37,50,343,11.894575438540455,5.0,dear local newspaper @ caps1 found many expert say computer benifit society case true case studdies show computer help people nothing beat talking person computer get really close example webcam e mail @ percent1 student get good grade refer reliable website reasearch help find good book also online catalouges advertisments help economy store worldwide @ caps2 people allowed use computer modern would exist @ person1 said best form modern communication computer ability write talk write back much cheaper almost every single event go planed computer communication e mail @ caps2 student ever need homework lam sick need help studying test contact teacher best form communication always e mail even post office us computer get letter box people president post office @ person2 said @ caps3 would imposible get mail coustmers @ caps2 @ caps3 computer telling u zip code heavy box @ caps4 tell people happening around world would exist @ caps2 @ caps3 moder communication ability computer provid u information commucated quick reasearch country @ location2 took pole @ percent2 people used computer type reasearch @ percent3 student currently school @ percent4 good grade survey taken @ location1 @ percent5 people used computer fore reason @ percent2 student good grade @ caps2 @ caps3 posible access document @ caps5 @ caps6 online probably would gotten @ caps7 assignment could amagine @ caps2 suddenly newspaper reporter use internet work report article would probably @ num1 event occur buissness including newspaper use internet advertise shop read association @ organization1 reported @ percent1 @ organization1 used website @ percent5 good position president @ caps8 @ num2 import said use online catalouge @ caps3 cheaper also promote @ caps3 save tree castomer convinence small @ organization1 make website promote self explain star potential coustomers @ person3 owner @ organization2 said internet saved resturant @ caps2 @ caps3 wer internet @ num3 people would jobless @ location3 conclusion computer help everyday people without convinences would exist help communicate around world computer help people reaserch subject school report make current economy get better everyday moderation computer useful tool
30,459,14,15,54,44,21,8,1,26,67,41,11,0,34,2,0,41,4,6,37,65,228,9.409740395979204,4.0,dear @ location1 know computer positive effect people computer connect family contain information great people education conveint computors step future take advantage first internet e mail help family member connect family life @ num1 hour away car love talk e mail help connect family another reason computors another reason includes family family sitting around calling everywhere find board game would easier go online find way would quick easy find one board game last reason computer would help family family want get kind activity need number could go online internet family could find number information way family activity together one see computer bringing family together reason computer good society education information tip finger people want learn day people try find tool computer mae people get education secondly computer another way go collage arn going school collage sick miss anything click button material needed missed lastly everyone know @ location2 classroom afford one computer child want computors hard get one would change much would able learn much child could lean different country far away result computer would improve way learn last reason computer helpful convience say world crazy go talk someone computer offer ability confrence people would communication work parttners ability talk another work would make u lighter nation one many reason computer conviente subssiquently computer conviente could book flight vacation rental much click button going @ caps1 nice vacation
15,233,14,9,26,28,11,0,1,5,36,8,19,0,14,0,0,13,11,4,21,50,119,8.18263361672077,4.0,dear @ location1 think computer negative affect u many people ace camputer daily america @ num1 many people go least hour @ num2 mean @ num3 people cant exercise wasting many posibility physical @ caps1 sound good think everything done write letter got got material sit back done writing put material away put letter mailbox walk way back well think write email sitdown move finger see difference @ caps2 instead getting good walk friend house talk er know literally computer instead around add anything computer give away information information lead everthing wouldbe gone go online believe phisically get hurt computer long @ num4 thing computer @ caps2 happened grandpa wood chair day get ardthritis muscle @ caps3 thing th
30,500,8,16,42,65,29,2,0,16,94,27,19,0,34,1,0,31,10,12,34,84,263,9.986591329312366,5.0,know people day depending computer safety natural education social life opinion increasing use computer benefiting society initially one safety using computer risk begin someone talking another computer @ month1 never know end example @ caps1 small girl playing game computer person began talking could predator never know unless meet u somewhere point maybe late moreover study show @ percent1 people information widely exposed last @ num1 year due new chat website myspace facebook website people share information safety risk finally people stop using computer much order keep safety safe furthermore enjoying nature must world full immense landscape wide water dense forest lush valley @ caps1 depend computer teach world cease use one must actually outside experiencing feel smell even taste nature recent study show people actually went grand canyon could write @ num1 page essay learned people go simply read information computer could write much finally society need back away computer stop thirdly person social life could ruined use computer many reason one reason could person spends time computer instead spending time family friend sure chat people online nothing like chatting person need talk friend family member online could person finally @ caps1 someone take embarrasing picture put computer forever thus lose friend whether person picture addict put picture easily ruin family social life using computer often would feel @ caps1 fault someone safety risk rather enjoy nature person instead computer get fall effect talk friend family person rather ignore use computer numerous way increasing rate computer use benefit society encourage agree computer put one safety risk decrease education nature ruin social life
39,499,9,20,38,56,31,4,0,8,86,33,17,0,27,3,2,35,13,10,52,82,264,9.141842028379523,5.0,@ percent1 people agree computer make life le complicated also agree using computer teach hand eye coordination give people ability learn faraway place people let people talk online people think important want strong hand eye coordination think important skill computer help teach hand eye coordination keep strong looking screen hand moving mouse want go good hand eye coordination used lot thing mostly everything play sport like baseball hand eye one important element make stronger feild also hand eye used @ organization1 taking note hand eye involved almost everything poor hand eye coordination else able function properly @ num1 @ num2 doctor agree hand eye important healthy living love travel want know place going get phone go said @ person1 science teacher @ organization1 feel way sure lot people feel want know place going want current computer plenty information lot different place world book offer much information need updated computer also good learning culture tradition one want ignorant right people want know going world quick easy computer remember @ num2 phone broke house go get one right away either way able communicate family friend computer computer made easier e mail everyone tell answering house phone happens often think people need communicate computer lot work need talk employee co worker leave desk e mail information @ num4 @ num2 employee say much faster easier e mail information opposed talking phone person lot people agree computer make life lot easier computer teach hand eye coordination let communicate people critical reason computer let people learn faraway place people make difference way people feel computer write local newspaper never
35,443,8,21,57,40,29,3,0,13,78,22,17,0,32,1,2,34,5,7,36,59,221,10.807067437301763,4.5,dear reader @ organization1 dramatic effect human life changed way almost everything today well know computer device allowed people buy thing online talk people online also provides entertainment people good quality make everyones life easier imagine look refrigerator notice almost empty someone using car need go grocery shopping store far well could go computer look food online ther many great deal company even deliver free amazing easy way buy food without leaving house food purchase many product sold computer need new toy kid new hat friend maybe even curtain room well easy access internet computer buy item computer also way communication let say someone want talk friend relative life far away another country @ caps1 someone dosen phone @ caps1 make call computer communicate anyone using email adress friend family talk ease computer type want say boom instant chat let face matter child even teenager computer change one click could actually watching movie comfort home @ caps1 want movie entertainment like listing music watching fun probable popular playing game everyone love play game every selection thousand online game person fled atleast game enjoyable even game educational fun many kid love entertainment computer produce could hate computer revolutinizing device change way shop communicate find exciting entertainment able much couple click new find extravagant blow mind see think @ caps1 wonder accomplish future
26,505,14,26,54,50,39,1,0,6,65,30,13,0,34,1,0,35,15,9,59,89,234,8.903808060653526,4.5,@ location1 technology computer say computer good society disagree believe bad reason reason obesity cramp sexual harrassment even cyber bullying first people get computer go exercise cause obesity think way watch kid go school entire life started @ num1 pound thing kid want play computer gain weight next tip top tip top hear kid computer @ caps1 teen come home school go straight computer get school night kid @ caps1 likely get bad cramp get cramp form typing fast hard long also get cramp sitting long trying get hurt much decide move anywhere also lot sexual harassment going kid goin chat room talk friend great news get chat room mad pissed reason someone making fun like happens maybe close @ percent1 time teen even parent go chat room online third reason computer huge effect people last reason computer huge effect people cyberbullying cyberbullying someone bully online instead realized child became poor sick dont want hurt killed something stupid well nice god thing kid go school online @ month1 get cyberbullied smart enough money go school cyberbullying normally occures chat room online family either become broke money food @ month1 even lose kid house live someone wanted act big bad popular school conclusion way computer effect people obesity cramp sexual harrassment cyberbullying joke fun get done turn tell u think computer think computer good benefit society bad rot little kid brain make life horrible live
